label,score
lh_L_V1,-0.04626
lh_L_MST,-0.0094678
lh_L_V6,-0.05906
lh_L_V2,-0.033068
lh_L_V3,-0.028171
lh_L_V4,-0.0020189
lh_L_V8,0.074254
lh_L_4,-0.090948
lh_L_3b,-0.086824
lh_L_FEF,-0.082694
lh_L_PEF,-0.089789
lh_L_55b,-0.084903
lh_L_V3A,-0.055223
lh_L_RSC,0.057514
lh_L_POS2,-0.001539
lh_L_V7,-0.064465
lh_L_IPS1,-0.064465
lh_L_FFC,0.074254
lh_L_V3B,-0.030823
lh_L_LO1,-0.020565
lh_L_LO2,-0.020565
lh_L_PIT,0.0093778
lh_L_MT,-0.016642
lh_L_A1,-0.07362
lh_L_PSL,0.007629
lh_L_SFL,0.0039316
lh_L_PCV,0.0059746
lh_L_STV,0.025553
lh_L_7Pm,0.0034589
lh_L_7m,0.0059746
lh_L_POS1,0.018565
lh_L_23d,0.067591
lh_L_v23ab,0.021712
lh_L_d23ab,0.061092
lh_L_31pv,0.039698
lh_L_5m,-0.095009
lh_L_5mv,-0.058593
lh_L_23c,0.047114
lh_L_5L,-0.047608
lh_L_24dd,-0.052202
lh_L_24dv,0.023448
lh_L_7AL,-0.063364
lh_L_SCEF,0.0039316
lh_L_6ma,0.0039316
lh_L_7Am,-0.02044
lh_L_7PL,-0.064465
lh_L_7PC,-0.064465
lh_L_LIPv,-0.064465
lh_L_VIP,-0.064465
lh_L_MIP,-0.064465
lh_L_1,-0.086712
lh_L_2,-0.079498
lh_L_3a,-0.088813
lh_L_6d,-0.089789
lh_L_6mp,-0.05611
lh_L_6v,-0.089789
lh_L_p24pr,0.06945
lh_L_33pr,0.055026
lh_L_a24pr,0.081418
lh_L_p32pr,0.025501
lh_L_a24,0.087148
lh_L_d32,0.01673
lh_L_8BM,0.0039316
lh_L_p32,0.050904
lh_L_10r,0.088086
lh_L_47m,0.05083
lh_L_8Av,-0.064139
lh_L_8Ad,-0.0076287
lh_L_9m,0.0060114
lh_L_8BL,0.0039316
lh_L_9p,0.0052562
lh_L_10d,0.0041622
lh_L_8C,-0.050684
lh_L_44,-0.029352
lh_L_45,-0.020637
lh_L_47l,-0.0065235
lh_L_a47r,-0.015175
lh_L_6r,-0.076446
lh_L_IFJa,-0.036345
lh_L_IFJp,-0.076613
lh_L_IFSp,-0.017663
lh_L_IFSa,-0.001261
lh_L_p9-46v,0.008313
lh_L_46,0.008313
lh_L_a9-46v,0.008313
lh_L_9-46d,0.008313
lh_L_9a,0.0063458
lh_L_10v,0.083197
lh_L_a10p,0.008313
lh_L_10pp,0.035649
lh_L_11l,0.048798
lh_L_13l,0.058227
lh_L_OFC,0.071967
lh_L_47s,0.058227
lh_L_LIPd,-0.064465
lh_L_6a,-0.041775
lh_L_i6-8,-0.062012
lh_L_s6-8,0.0039316
lh_L_43,-0.089704
lh_L_OP4,-0.086956
lh_L_OP1,-0.037211
lh_L_OP2-3,-0.016716
lh_L_52,-0.0086768
lh_L_RI,0.0072512
lh_L_PFcm,0.0062272
lh_L_PoI2,0.0092829
lh_L_TA2,0.011367
lh_L_FOP4,-0.023813
lh_L_MI,0.0092829
lh_L_Pir,0.0088763
lh_L_AVI,0.045096
lh_L_AAIC,0.012779
lh_L_FOP1,-0.089789
lh_L_FOP3,-0.010449
lh_L_FOP2,-0.053096
lh_L_PFt,-0.0010337
lh_L_AIP,-0.03421
lh_L_EC,0.06555
lh_L_PreS,0.031481
lh_L_H,0.0001
lh_L_ProS,0.014925
lh_L_PeEc,0.075844
lh_L_STGa,0.011367
lh_L_PBelt,-0.0036307
lh_L_A5,0.014598
lh_L_PHA1,0.08105
lh_L_PHA3,0.071393
lh_L_STSda,0.011367
lh_L_STSdp,0.040659
lh_L_STSvp,0.072062
lh_L_TGd,0.05405
lh_L_TE1a,0.079814
lh_L_TE1p,0.082566
lh_L_TE2a,0.087566
lh_L_TF,0.080067
lh_L_TE2p,0.086552
lh_L_PHT,0.078853
lh_L_PH,0.073712
lh_L_TPOJ1,0.060907
lh_L_TPOJ2,0.033699
lh_L_TPOJ3,0.0042776
lh_L_DVT,-0.023684
lh_L_PGp,0.0042776
lh_L_IP2,-0.0037434
lh_L_IP1,-0.0086116
lh_L_IP0,-0.0071795
lh_L_PFop,-0.01743
lh_L_PF,0.0062272
lh_L_PFm,0.0052524
lh_L_PGi,0.004389
lh_L_PGs,0.0042776
lh_L_V6A,-0.064465
lh_L_VMV1,0.00202
lh_L_VMV3,0.069245
lh_L_PHA2,0.079002
lh_L_V4t,-0.020565
lh_L_FST,0.045563
lh_L_V3CD,-0.0065235
lh_L_LO3,-0.016048
lh_L_VMV2,0.014147
lh_L_31pd,0.0059746
lh_L_31a,0.042944
lh_L_VVC,0.074254
lh_L_25,0.069413
lh_L_s32,0.087731
lh_L_pOFC,0.028137
lh_L_PoI1,0.0092829
lh_L_Ig,0.0092829
lh_L_FOP5,-0.008831
lh_L_p10p,0.0080762
lh_L_p47r,-0.0038992
lh_L_TGv,0.087235
lh_L_MBelt,-0.042458
lh_L_LBelt,-0.018194
lh_L_A4,0.013248
lh_L_STSva,0.057615
lh_L_TE1m,0.081227
lh_L_PI,0.0111
lh_L_a32pr,0.017793
lh_L_p24,0.04497
rh_R_V1,-0.052632
rh_R_MST,0.020964
rh_R_V6,-0.072439
rh_R_V2,-0.042128
rh_R_V3,-0.040146
rh_R_V4,0.0022783
rh_R_V8,0.074537
rh_R_4,-0.085663
rh_R_3b,-0.096363
rh_R_FEF,-0.086135
rh_R_PEF,-0.086567
rh_R_55b,-0.083354
rh_R_V3A,-0.067932
rh_R_RSC,0.033668
rh_R_POS2,-0.034367
rh_R_V7,-0.083699
rh_R_IPS1,-0.083699
rh_R_FFC,0.074537
rh_R_V3B,-0.054199
rh_R_LO1,-0.023058
rh_R_LO2,-0.023058
rh_R_PIT,0.012076
rh_R_MT,-0.019147
rh_R_A1,-0.035784
rh_R_PSL,-0.01488
rh_R_SFL,0.029367
rh_R_PCV,-0.02423
rh_R_STV,0.015319
