label,score
lh_L_V1,-2.9412742
lh_L_MST,-4.1480274
lh_L_V6,-4.4530716
lh_L_V2,-3.9453177
lh_L_V3,-3.6584442
lh_L_V4,-3.9181101
lh_L_V8,-4.243278
lh_L_4,-5.0514317
lh_L_3b,-5.054031
lh_L_FEF,-2.6592422
lh_L_PEF,-1.975347
lh_L_55b,-0.15844004
lh_L_V3A,-4.4426904
lh_L_RSC,2.5264637
lh_L_POS2,2.97905
lh_L_V7,-4.427193
lh_L_IPS1,-3.752272
lh_L_FFC,-2.9799023
lh_L_V3B,-4.2344947
lh_L_LO1,-4.2114153
lh_L_LO2,-4.043397
lh_L_PIT,-3.9436605
lh_L_MT,-4.1151075
lh_L_A1,-3.7294362
lh_L_PSL,1.4519213
lh_L_SFL,4.3393683
lh_L_PCV,-0.64252114
lh_L_STV,0.058091808
lh_L_7Pm,3.6526783
lh_L_7m,6.0799594
lh_L_POS1,3.5623376
lh_L_23d,3.9430473
lh_L_v23ab,5.947439
lh_L_d23ab,5.991085
lh_L_31pv,6.377704
lh_L_5m,-5.20465
lh_L_5mv,-3.8841674
lh_L_23c,-2.2121992
lh_L_5L,-5.0187645
lh_L_24dd,-5.1729302
lh_L_24dv,-4.5190225
lh_L_7AL,-3.892978
lh_L_SCEF,-2.5544264
lh_L_6ma,-0.854745
lh_L_7Am,-1.548101
lh_L_7PL,-0.8656624
lh_L_7PC,-4.546411
lh_L_LIPv,-3.8317964
lh_L_VIP,-3.6312327
lh_L_MIP,-1.1893896
lh_L_1,-5.2388062
lh_L_2,-5.116673
lh_L_3a,-4.894686
lh_L_6d,-5.202761
lh_L_6mp,-5.0364094
lh_L_6v,-4.3347974
lh_L_p24pr,-1.6785043
lh_L_33pr,1.1593683
lh_L_a24pr,-2.190037
lh_L_p32pr,-2.5083044
lh_L_a24,4.6505795
lh_L_d32,5.1921406
lh_L_8BM,4.711537
lh_L_p32,4.1152153
lh_L_10r,5.7131176
lh_L_47m,4.1092362
lh_L_8Av,6.4045677
lh_L_8Ad,5.662752
lh_L_9m,6.3157487
lh_L_8BL,6.5542436
lh_L_9p,6.2403736
lh_L_10d,6.2515206
lh_L_8C,5.3074183
lh_L_44,3.956498
lh_L_45,4.6824756
lh_L_47l,5.582123
lh_L_a47r,5.930646
lh_L_6r,-1.4613682
lh_L_IFJa,1.5342964
lh_L_IFJp,1.7237834
lh_L_IFSp,3.1116385
lh_L_IFSa,1.7552218
lh_L_p9-46v,3.130731
lh_L_46,-0.13316697
lh_L_a9-46v,3.6252372
lh_L_9-46d,0.8572288
lh_L_9a,5.9990563
lh_L_10v,6.288857
lh_L_a10p,5.6076474
lh_L_10pp,6.2595725
lh_L_11l,1.7840077
lh_L_13l,3.3416276
lh_L_OFC,5.1769547
lh_L_47s,5.490179
lh_L_LIPd,0.8971538
lh_L_6a,-2.6695266
lh_L_i6-8,3.7034736
lh_L_s6-8,5.456189
lh_L_43,-3.7394125
lh_L_OP4,-4.3499923
lh_L_OP1,-4.9692826
lh_L_OP2-3,-4.392838
lh_L_52,-3.592887
lh_L_RI,-4.1030416
lh_L_PFcm,-3.8368576
lh_L_PoI2,-3.2552526
lh_L_TA2,-3.2537892
lh_L_FOP4,-1.3532968
lh_L_MI,-1.2488654
lh_L_Pir,-0.77005774
lh_L_AVI,1.7161478
lh_L_AAIC,1.4705085
lh_L_FOP1,-3.3196492
lh_L_FOP3,-2.9689016
lh_L_FOP2,-4.3526487
lh_L_PFt,-3.263684
lh_L_AIP,-2.0222676
lh_L_EC,2.8918176
lh_L_PreS,0.6133166
lh_L_H,0.053880237
lh_L_ProS,-3.4737592
