label,score
lh_L_V1,1
lh_L_MST,1
lh_L_V6,1
lh_L_V2,1
lh_L_V3,1
lh_L_V4,1
lh_L_V8,1
lh_L_4,2
lh_L_3b,2
lh_L_FEF,3
lh_L_PEF,3
lh_L_55b,2
lh_L_V3A,1
lh_L_RSC,7
lh_L_POS2,6
lh_L_V7,1
lh_L_IPS1,3
lh_L_FFC,1
lh_L_V3B,1
lh_L_LO1,1
lh_L_LO2,1
lh_L_PIT,1
lh_L_MT,1
lh_L_A1,2
lh_L_PSL,4
lh_L_SFL,7
lh_L_PCV,7
lh_L_STV,7
lh_L_7Pm,6
lh_L_7m,7
lh_L_POS1,7
lh_L_23d,7
lh_L_v23ab,7
lh_L_d23ab,7
lh_L_31pv,7
lh_L_5m,2
lh_L_5mv,4
lh_L_23c,4
lh_L_5L,2
lh_L_24dd,2
lh_L_24dv,2
lh_L_7AL,3
lh_L_SCEF,4
lh_L_6ma,4
lh_L_7Am,3
lh_L_7PL,3
lh_L_7PC,3
lh_L_LIPv,3
lh_L_VIP,3
lh_L_MIP,3
lh_L_1,2
lh_L_2,2
lh_L_3a,2
lh_L_6d,2
lh_L_6mp,2
lh_L_6v,2
lh_L_p24pr,4
lh_L_33pr,6
lh_L_a24pr,4
lh_L_p32pr,4
lh_L_a24,7
lh_L_d32,7
lh_L_8BM,6
lh_L_p32,7
lh_L_10r,7
lh_L_47m,7
lh_L_8Av,7
lh_L_8Ad,7
lh_L_9m,7
lh_L_8BL,7
lh_L_9p,7
lh_L_10d,7
lh_L_8C,6
lh_L_44,6
lh_L_45,7
lh_L_47l,7
lh_L_a47r,7
lh_L_6r,4
lh_L_IFJa,6
lh_L_IFJp,3
lh_L_IFSp,6
lh_L_IFSa,6
lh_L_p9-46v,6
lh_L_46,6
lh_L_a9-46v,6
lh_L_9-46d,6
lh_L_9a,7
lh_L_10v,5
lh_L_a10p,7
lh_L_10pp,5
lh_L_11l,6
lh_L_13l,5
lh_L_OFC,5
lh_L_47s,7
lh_L_LIPd,3
lh_L_6a,3
lh_L_i6-8,6
lh_L_s6-8,7
lh_L_43,4
lh_L_OP4,2
lh_L_OP1,2
lh_L_OP2-3,2
lh_L_52,2
lh_L_RI,2
lh_L_PFcm,4
lh_L_PoI2,4
lh_L_TA2,2
lh_L_FOP4,4
lh_L_MI,4
lh_L_Pir,5
lh_L_AVI,6
lh_L_AAIC,7
lh_L_FOP1,4
lh_L_FOP3,4
lh_L_FOP2,4
lh_L_PFt,3
lh_L_AIP,3
lh_L_EC,5
lh_L_PreS,1
lh_L_H,5
lh_L_ProS,1
lh_L_PeEc,5
lh_L_STGa,7
lh_L_PBelt,2
lh_L_A5,7
lh_L_PHA1,1
lh_L_PHA3,1
lh_L_STSda,7
lh_L_STSdp,7
lh_L_STSvp,7
lh_L_TGd,5
lh_L_TE1a,7
lh_L_TE1p,7
lh_L_TE2a,7
lh_L_TF,5
lh_L_TE2p,3
lh_L_PHT,3
lh_L_PH,3
lh_L_TPOJ1,7
lh_L_TPOJ2,3
lh_L_TPOJ3,3
lh_L_DVT,1
lh_L_PGp,3
lh_L_IP2,6
lh_L_IP1,6
lh_L_IP0,3
lh_L_PFop,4
lh_L_PF,4
lh_L_PFm,6
lh_L_PGi,7
lh_L_PGs,7
lh_L_V6A,1
lh_L_VMV1,1
lh_L_VMV3,1
lh_L_PHA2,7
lh_L_V4t,1
lh_L_FST,3
lh_L_V3CD,1
lh_L_LO3,1
lh_L_VMV2,1
lh_L_31pd,7
lh_L_31a,7
lh_L_VVC,1
lh_L_25,5
lh_L_s32,7
lh_L_pOFC,5
lh_L_PoI1,4
lh_L_Ig,2
lh_L_FOP5,4
lh_L_p10p,7
lh_L_p47r,6
lh_L_TGv,5
lh_L_MBelt,2
lh_L_LBelt,2
lh_L_A4,2
lh_L_STSva,7
lh_L_TE1m,7
lh_L_PI,4
lh_L_a32pr,6
lh_L_p24,7
rh_R_V1,1
rh_R_MST,3
rh_R_V6,1
rh_R_V2,1
rh_R_V3,1
rh_R_V4,1
rh_R_V8,1
rh_R_4,2
rh_R_3b,2
rh_R_FEF,3
rh_R_PEF,3
rh_R_55b,4
rh_R_V3A,1
rh_R_RSC,7
rh_R_POS2,6
rh_R_V7,1
rh_R_IPS1,3
rh_R_FFC,1
rh_R_V3B,1
rh_R_LO1,1
rh_R_LO2,1
rh_R_PIT,1
rh_R_MT,1
rh_R_A1,2
rh_R_PSL,4
rh_R_SFL,4
rh_R_PCV,3
rh_R_STV,4
rh_R_7Pm,6
rh_R_7m,7
rh_R_POS1,7
rh_R_23d,7
rh_R_v23ab,7
rh_R_d23ab,7
rh_R_31pv,7
rh_R_5m,2
rh_R_5mv,4
rh_R_23c,4
rh_R_5L,2
rh_R_24dd,2
rh_R_24dv,2
rh_R_7AL,3
rh_R_SCEF,4
rh_R_6ma,4
rh_R_7Am,3
rh_R_7PL,3
rh_R_7PC,3
rh_R_LIPv,3
rh_R_VIP,3
rh_R_MIP,3
rh_R_1,2
rh_R_2,2
rh_R_3a,2
rh_R_6d,2
rh_R_6mp,2
rh_R_6v,2
rh_R_p24pr,4
rh_R_33pr,6
rh_R_a24pr,4
rh_R_p32pr,4
rh_R_a24,7
rh_R_d32,7
rh_R_8BM,6
rh_R_p32,7
rh_R_10r,7
rh_R_47m,7
rh_R_8Av,6
rh_R_8Ad,7
rh_R_9m,7
rh_R_8BL,7
rh_R_9p,7
rh_R_10d,7
rh_R_8C,6
rh_R_44,6
rh_R_45,7
rh_R_47l,7
rh_R_a47r,6
rh_R_6r,3
rh_R_IFJa,6
rh_R_IFJp,3
rh_R_IFSp,6
rh_R_IFSa,6
rh_R_p9-46v,6
rh_R_46,6
rh_R_a9-46v,6
rh_R_9-46d,6
rh_R_9a,7
rh_R_10v,5
rh_R_a10p,6
rh_R_10pp,5
rh_R_11l,6
rh_R_13l,5
rh_R_OFC,5
rh_R_47s,7
rh_R_LIPd,3
rh_R_6a,3
rh_R_i6-8,6
rh_R_s6-8,6
rh_R_43,2
rh_R_OP4,2
rh_R_OP1,2
rh_R_OP2-3,2
rh_R_52,2
rh_R_RI,2
rh_R_PFcm,4
rh_R_PoI2,4
rh_R_TA2,2
rh_R_FOP4,4
rh_R_MI,4
rh_R_Pir,4
rh_R_AVI,6
rh_R_AAIC,4
rh_R_FOP1,4
rh_R_FOP3,4
rh_R_FOP2,2
rh_R_PFt,3
rh_R_AIP,3
rh_R_EC,5
rh_R_PreS,1
rh_R_H,5
rh_R_ProS,1
rh_R_PeEc,5
rh_R_STGa,7
rh_R_PBelt,2
rh_R_A5,2
rh_R_PHA1,1
rh_R_PHA3,1
rh_R_STSda,7
rh_R_STSdp,7
rh_R_STSvp,7
rh_R_TGd,5
rh_R_TE1a,7
rh_R_TE1p,6
rh_R_TE2a,5
rh_R_TF,5
rh_R_TE2p,3
rh_R_PHT,6
rh_R_PH,3
rh_R_TPOJ1,2
rh_R_TPOJ2,4
rh_R_TPOJ3,3
rh_R_DVT,1
rh_R_PGp,3
rh_R_IP2,6
rh_R_IP1,6
rh_R_IP0,3
rh_R_PFop,4
rh_R_PF,4
rh_R_PFm,6
rh_R_PGi,7
rh_R_PGs,7
rh_R_V6A,1
rh_R_VMV1,1
rh_R_VMV3,1
rh_R_PHA2,1
rh_R_V4t,1
rh_R_FST,3
rh_R_V3CD,1
rh_R_LO3,1
rh_R_VMV2,1
rh_R_31pd,7
rh_R_31a,6
rh_R_VVC,1
rh_R_25,5
rh_R_s32,7
rh_R_pOFC,5
rh_R_PoI1,4
rh_R_Ig,2
rh_R_FOP5,4
rh_R_p10p,6
rh_R_p47r,6
rh_R_TGv,5
rh_R_MBelt,2
rh_R_LBelt,2
rh_R_A4,2
rh_R_STSva,7
rh_R_TE1m,7
rh_R_PI,4
rh_R_a32pr,6
rh_R_p24,7
lh_???,0
rh_???,0
