label,score
lh_L_V1,0.55354375
lh_L_MST,0.6392304
lh_L_V6,0.60662377
lh_L_V2,0.55989033
lh_L_V3,0.568503
lh_L_V4,0.57235295
lh_L_V8,0.5755926
lh_L_4,0.56571424
lh_L_3b,0.560478
lh_L_FEF,0.62789786
lh_L_PEF,0.6237533
lh_L_55b,0.627426
lh_L_V3A,0.57711524
lh_L_RSC,0.57529795
lh_L_POS2,0.608701
lh_L_V7,0.5903054
lh_L_IPS1,0.60710514
lh_L_FFC,0.60701793
lh_L_V3B,0.59873116
lh_L_LO1,0.5908011
lh_L_LO2,0.58543307
lh_L_PIT,0.5785049
lh_L_MT,0.61035895
lh_L_A1,0.59327763
lh_L_PSL,0.65120864
lh_L_SFL,0.63700575
lh_L_PCV,0.6164781
lh_L_STV,0.647757
lh_L_7Pm,0.58681005
lh_L_7m,0.5883793
lh_L_POS1,0.576223
lh_L_23d,0.6190055
lh_L_v23ab,0.5894453
lh_L_d23ab,0.5893018
lh_L_31pv,0.59368974
lh_L_5m,0.5791113
lh_L_5mv,0.63464904
lh_L_23c,0.6388479
lh_L_5L,0.58507293
lh_L_24dd,0.5686671
lh_L_24dv,0.58488476
lh_L_7AL,0.5848365
lh_L_SCEF,0.5978835
lh_L_6ma,0.60635036
lh_L_7Am,0.59941846
lh_L_7PL,0.58899033
lh_L_7PC,0.5928113
lh_L_LIPv,0.6184836
lh_L_VIP,0.59204286
lh_L_MIP,0.61750734
lh_L_1,0.5642129
lh_L_2,0.58336407
lh_L_3a,0.559471
lh_L_6d,0.57712764
lh_L_6mp,0.56629276
lh_L_6v,0.5778698
lh_L_p24pr,0.61698693
lh_L_33pr,0.550343
lh_L_a24pr,0.60915387
lh_L_p32pr,0.60809153
lh_L_a24,0.60251445
lh_L_d32,0.6299876
lh_L_8BM,0.6285524
lh_L_p32,0.6027789
lh_L_10r,0.6142792
lh_L_47m,0.65652305
lh_L_8Av,0.6268774
lh_L_8Ad,0.6340295
lh_L_9m,0.62551516
lh_L_8BL,0.6282354
lh_L_9p,0.6338773
lh_L_10d,0.61243033
lh_L_8C,0.67491466
lh_L_44,0.6563019
lh_L_45,0.63553435
lh_L_47l,0.6324507
lh_L_a47r,0.61077565
lh_L_6r,0.60971904
lh_L_IFJa,0.66150886
lh_L_IFJp,0.64886105
lh_L_IFSp,0.6646479
lh_L_IFSa,0.6497141
lh_L_p9-46v,0.6763312
lh_L_46,0.6555105
lh_L_a9-46v,0.6423322
lh_L_9-46d,0.67144835
lh_L_9a,0.6374479
lh_L_10v,0.6203295
lh_L_a10p,0.61361104
lh_L_10pp,0.6192054
lh_L_11l,0.64496326
lh_L_13l,0.6264122
lh_L_OFC,0.62148184
lh_L_47s,0.605833
lh_L_LIPd,0.64913803
lh_L_6a,0.59623325
lh_L_i6-8,0.6199204
lh_L_s6-8,0.62415886
lh_L_43,0.5884221
lh_L_OP4,0.58599186
lh_L_OP1,0.58652145
lh_L_OP2-3,0.5735373
lh_L_52,0.59955573
lh_L_RI,0.58135384
lh_L_PFcm,0.61075175
lh_L_PoI2,0.6079105
lh_L_TA2,0.6050139
lh_L_FOP4,0.6286084
lh_L_MI,0.6070297
lh_L_Pir,0.28524742
lh_L_AVI,0.6110923
lh_L_AAIC,0.5546362
lh_L_FOP1,0.6009234
lh_L_FOP3,0.61384887
lh_L_FOP2,0.59411806
lh_L_PFt,0.6151134
lh_L_AIP,0.63275963
lh_L_EC,0.52226365
lh_L_PreS,0.41007182
lh_L_H,0.014708775
lh_L_ProS,0.55491114
lh_L_PeEc,0.569055
lh_L_STGa,0.6042558
lh_L_PBelt,0.5877563
lh_L_A5,0.6083245
lh_L_PHA1,0.5678379
lh_L_PHA3,0.56699884
lh_L_STSda,0.6223489
lh_L_STSdp,0.6402624
lh_L_STSvp,0.6419623
lh_L_TGd,0.60484743
lh_L_TE1a,0.62109
lh_L_TE1p,0.636249
lh_L_TE2a,0.60412085
lh_L_TF,0.58692676
