label,score
lh_L_V1,1.5460118
lh_L_MST,1.4956782
lh_L_V6,1.4866205
lh_L_V2,1.505825
lh_L_V3,1.4779212
lh_L_V4,1.4484861
lh_L_V8,1.4235089
lh_L_4,1.6203593
lh_L_3b,1.5474436
lh_L_FEF,1.3953879
lh_L_PEF,1.3498938
lh_L_55b,1.3361845
lh_L_V3A,1.5065899
lh_L_RSC,1.6376355
lh_L_POS2,1.390025
lh_L_V7,1.486356
lh_L_IPS1,1.3983523
lh_L_FFC,1.3411497
lh_L_V3B,1.4385917
lh_L_LO1,1.4041904
lh_L_LO2,1.3824716
lh_L_PIT,1.3704051
lh_L_MT,1.4980285
lh_L_A1,1.7311876
lh_L_PSL,1.2550516
lh_L_SFL,1.2079953
lh_L_PCV,1.2921023
lh_L_STV,1.2910477
lh_L_7Pm,1.2885519
lh_L_7m,1.3423426
lh_L_POS1,1.3746527
lh_L_23d,1.3188263
lh_L_v23ab,1.3828623
lh_L_d23ab,1.4138612
lh_L_31pv,1.3418722
lh_L_5m,1.4706563
lh_L_5mv,1.2863404
lh_L_23c,1.2460899
lh_L_5L,1.2846857
lh_L_24dd,1.4242054
lh_L_24dv,1.2649674
lh_L_7AL,1.2620655
lh_L_SCEF,1.2887319
lh_L_6ma,1.227394
lh_L_7Am,1.2400974
lh_L_7PL,1.3182713
lh_L_7PC,1.3341149
lh_L_LIPv,1.4183004
lh_L_VIP,1.3291883
lh_L_MIP,1.3588098
lh_L_1,1.4505212
lh_L_2,1.3735732
lh_L_3a,1.5371885
lh_L_6d,1.4340922
lh_L_6mp,1.3925062
lh_L_6v,1.3221624
lh_L_p24pr,1.1703763
lh_L_33pr,1.0249059
lh_L_a24pr,1.0965348
lh_L_p32pr,1.223305
lh_L_a24,1.1088794
lh_L_d32,1.1821884
lh_L_8BM,1.2141228
lh_L_p32,1.1747653
lh_L_10r,1.216087
lh_L_47m,1.3910966
lh_L_8Av,1.2641217
lh_L_8Ad,1.2448251
lh_L_9m,1.1631961
lh_L_8BL,1.1848892
lh_L_9p,1.1881937
lh_L_10d,1.1842663
lh_L_8C,1.3022525
lh_L_44,1.2674375
lh_L_45,1.3053507
lh_L_47l,1.2390342
lh_L_a47r,1.2017747
lh_L_6r,1.2625979
lh_L_IFJa,1.3412943
lh_L_IFJp,1.3340604
lh_L_IFSp,1.3516285
lh_L_IFSa,1.2941214
lh_L_p9-46v,1.271579
lh_L_46,1.2079154
lh_L_a9-46v,1.2427865
lh_L_9-46d,1.2183642
lh_L_9a,1.187559
lh_L_10v,1.1463361
lh_L_a10p,1.2143378
lh_L_10pp,1.1751618
lh_L_11l,1.2047695
lh_L_13l,1.2596731
lh_L_OFC,1.1900399
lh_L_47s,1.2185564
lh_L_LIPd,1.3877615
lh_L_6a,1.3185071
lh_L_i6-8,1.2972249
lh_L_s6-8,1.220021
lh_L_43,1.3123543
lh_L_OP4,1.2870716
lh_L_OP1,1.362649
lh_L_OP2-3,1.3796033
lh_L_52,1.3144957
lh_L_RI,1.4830948
lh_L_PFcm,1.3339276
lh_L_PoI2,1.1723075
lh_L_TA2,1.282683
lh_L_FOP4,1.1951426
lh_L_MI,1.1217663
lh_L_Pir,0.6444922
lh_L_AVI,1.2282722
lh_L_AAIC,1.0273335
lh_L_FOP1,1.2478739
lh_L_FOP3,1.1935569
lh_L_FOP2,1.2375784
lh_L_PFt,1.2893678
lh_L_AIP,1.3504624
lh_L_EC,1.2172991
lh_L_PreS,1.2392789
lh_L_H,0.035298944
lh_L_ProS,1.3788695
lh_L_PeEc,1.1188604
lh_L_STGa,1.1588534
lh_L_PBelt,1.5211077
lh_L_A5,1.3183581
lh_L_PHA1,1.341219
lh_L_PHA3,1.251552
lh_L_STSda,1.2500856
lh_L_STSdp,1.3281668
lh_L_STSvp,1.2839859
lh_L_TGd,1.0992895
lh_L_TE1a,1.2105691
