label,score
lh_L_V1,1.9770759
lh_L_MST,2.4735897
lh_L_V6,2.18875
lh_L_V2,2.0894122
lh_L_V3,2.2306707
lh_L_V4,2.359341
lh_L_V8,2.7126303
lh_L_4,2.723076
lh_L_3b,1.7888863
lh_L_FEF,2.6258535
lh_L_PEF,2.5992858
lh_L_55b,2.803879
lh_L_V3A,2.1624799
lh_L_RSC,2.3073804
lh_L_POS2,2.3952153
lh_L_V7,2.290843
lh_L_IPS1,2.2866344
lh_L_FFC,2.8283172
lh_L_V3B,2.3221834
lh_L_LO1,2.4431643
lh_L_LO2,2.6143866
lh_L_PIT,2.6089027
lh_L_MT,2.495934
lh_L_A1,2.6485846
lh_L_PSL,2.7143288
lh_L_SFL,2.9940562
lh_L_PCV,2.562369
lh_L_STV,2.7680862
lh_L_7Pm,2.4765604
lh_L_7m,2.6733108
lh_L_POS1,2.807833
lh_L_23d,2.9904015
lh_L_v23ab,2.9331992
lh_L_d23ab,3.185059
lh_L_31pv,2.7230663
lh_L_5m,2.2597482
lh_L_5mv,2.2725625
lh_L_23c,2.5484538
lh_L_5L,2.1918056
lh_L_24dd,2.7893777
lh_L_24dv,2.7532344
lh_L_7AL,2.2231162
lh_L_SCEF,2.9270854
lh_L_6ma,2.7487795
lh_L_7Am,2.3579419
lh_L_7PL,2.3018594
lh_L_7PC,2.2953765
lh_L_LIPv,2.2220972
lh_L_VIP,2.2899
lh_L_MIP,2.31813
lh_L_1,2.277096
lh_L_2,2.2141843
lh_L_3a,2.033033
lh_L_6d,2.7916906
lh_L_6mp,2.683349
lh_L_6v,2.963738
lh_L_p24pr,2.8681042
lh_L_33pr,1.7581092
lh_L_a24pr,2.7656732
lh_L_p32pr,2.9296737
lh_L_a24,3.104824
lh_L_d32,3.0844057
lh_L_8BM,3.088326
lh_L_p32,2.7893255
lh_L_10r,2.597622
lh_L_47m,2.619858
lh_L_8Av,2.7677577
lh_L_8Ad,2.6797943
lh_L_9m,2.912394
lh_L_8BL,2.913145
lh_L_9p,2.6040394
lh_L_10d,2.5629728
lh_L_8C,2.6669147
lh_L_44,2.7905924
lh_L_45,2.6470952
lh_L_47l,2.7376976
lh_L_a47r,2.6988485
lh_L_6r,2.7972739
lh_L_IFJa,2.6730053
lh_L_IFJp,2.7290072
lh_L_IFSp,2.550191
lh_L_IFSa,2.527651
lh_L_p9-46v,2.571845
lh_L_46,2.6032438
lh_L_a9-46v,2.523999
lh_L_9-46d,2.536796
