p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
0	1.910374822	0.864	0.071	0	LHFPL3
1.32E-249	1.829262894	0.914	0.144	2.84E-245	TNR
0	1.800527048	0.819	0.077	0	PCDH15
0	1.689789125	0.873	0.092	0	PTPRZ1
9.80E-147	1.505562147	0.928	0.242	2.11E-142	DSCAM
0	1.46136119	0.801	0.069	0	VCAN
2.29E-115	1.456289467	0.891	0.273	4.95E-111	LRRC4C
6.12E-270	1.244655873	0.462	0.029	1.32E-265	MEGF11
6.87E-123	1.181202682	0.656	0.123	1.48E-118	XYLT1
5.38E-165	1.165148892	0.611	0.08	1.16E-160	SOX6
3.23E-119	1.149608254	0.597	0.103	6.97E-115	CA10
1.87E-107	1.125420656	0.76	0.177	4.03E-103	PDZD2
7.06E-144	1.117457599	0.633	0.096	1.52E-139	LUZP2
3.01E-73	1.085231902	0.674	0.187	6.50E-69	SLC35F1
0	1.084214513	0.362	0.011	0	RP4.668E10.4
2.83E-90	1.054521182	0.538	0.105	6.11E-86	DGKG
8.45E-70	1.047166915	0.661	0.187	1.82E-65	MMP16
7.11E-160	1.045506634	0.606	0.08	1.54E-155	SMOC1
1.17E-70	1.001793646	0.95	0.42	2.53E-66	NLGN1
2.18E-165	0.997983099	0.493	0.053	4.70E-161	BCAN
4.00E-136	0.970181718	0.602	0.09	8.62E-132	TMEM132C
4.29E-108	0.938715358	0.448	0.065	9.25E-104	COL11A1
9.30E-71	0.910249172	0.557	0.134	2.01E-66	BRINP3
8.08E-112	0.905009125	0.452	0.063	1.74E-107	LINC00511
4.94E-87	0.901783277	0.561	0.114	1.07E-82	SEMA5A
6.86E-157	0.878123677	0.475	0.05	1.48E-152	NXPH1
1.06E-54	0.874298257	0.805	0.314	2.29E-50	DPP6
9.28E-66	0.861063916	0.76	0.248	2.00E-61	EPN2
2.28E-71	0.848151571	0.751	0.21	4.92E-67	OLIG1
4.65E-50	0.838627567	0.606	0.193	1.00E-45	KCND2
1.73E-70	0.838464946	0.864	0.313	3.74E-66	GRID2
8.89E-76	0.833600617	0.52	0.113	1.92E-71	OPHN1
4.66E-114	0.827351067	0.566	0.093	1.01E-109	CHST11
3.86E-51	0.819726054	0.706	0.237	8.34E-47	CSMD3
2.80E-59	0.808377605	0.321	0.056	6.04E-55	SEMA3E
2.06E-207	0.804872041	0.281	0.013	4.45E-203	PDGFRA
4.45E-92	0.802922711	0.335	0.043	9.60E-88	KCNIP1
3.82E-46	0.79522946	0.869	0.423	8.25E-42	NOVA1
6.38E-72	0.786860525	0.905	0.287	1.38E-67	OPCML
6.73E-56	0.783281211	0.507	0.133	1.45E-51	ABHD2
7.40E-51	0.770391507	0.48	0.13	1.60E-46	SEZ6L
1.40E-42	0.768711705	0.62	0.217	3.01E-38	CHL1
1.01E-70	0.76767908	0.321	0.05	2.19E-66	KCNMB2.AS1
1.24E-112	0.758601078	0.466	0.065	2.68E-108	GRIK1
3.31E-55	0.735311642	0.715	0.236	7.14E-51	NAV1
1.22E-59	0.729806235	0.575	0.152	2.63E-55	DCC
4.94E-48	0.720911822	0.751	0.279	1.07E-43	NRCAM
1.37E-46	0.72022627	0.661	0.221	2.95E-42	SNTG1
1.74E-36	0.718847639	0.362	0.1	3.75E-32	SORCS3
6.41E-71	0.715934153	0.312	0.047	1.38E-66	CHRM5
3.34E-65	0.707273401	0.679	0.186	7.20E-61	ADARB2
9.89E-76	0.704949627	0.357	0.056	2.14E-71	UST
7.74E-45	0.703982109	0.312	0.066	1.67E-40	NTNG1
3.92E-86	0.685277489	0.335	0.045	8.46E-82	ALK
4.93E-103	0.664565714	0.29	0.029	1.06E-98	PLPP4
7.60E-43	0.66332597	0.706	0.268	1.64E-38	KAZN
2.20E-49	0.660043291	0.679	0.23	4.76E-45	GALNT13
5.80E-52	0.655042779	0.851	0.296	1.25E-47	FGF14
1.21E-57	0.636727776	0.267	0.041	2.62E-53	KIF26B
1.28E-61	0.631268209	0.308	0.051	2.77E-57	LRRN1
3.45E-36	0.627113584	0.896	0.5	7.45E-32	AGAP1
1.28E-47	0.624821094	0.48	0.128	2.76E-43	PALM2
2.10E-49	0.624590198	0.62	0.195	4.53E-45	ZFPM2
3.93E-58	0.621432809	0.566	0.149	8.47E-54	ZNF462
7.12E-47	0.62121882	0.71	0.237	1.54E-42	ATRNL1
3.18E-63	0.620738651	0.665	0.178	6.86E-59	MAML2
6.66E-40	0.615266343	0.674	0.26	1.44E-35	ASTN2
7.22E-42	0.615220016	0.498	0.15	1.56E-37	USP24
1.76E-35	0.604377814	0.606	0.228	3.79E-31	ZDHHC14
2.01E-51	0.596121719	0.434	0.107	4.33E-47	TNK2
1.05E-36	0.592379711	0.471	0.149	2.27E-32	XKR4
4.66E-36	0.586302302	0.71	0.286	1.01E-31	KIF13A
1.41E-59	0.583311206	0.389	0.077	3.05E-55	OLIG2
3.03E-37	0.575902965	0.561	0.193	6.53E-33	GRM7
6.06E-43	0.575588617	0.9	0.366	1.31E-38	NRXN1
2.08E-71	0.575095431	0.271	0.035	4.49E-67	SLC24A3
5.49E-28	0.561398156	0.643	0.281	1.19E-23	TRIM9
3.34E-27	0.560814249	0.362	0.118	7.20E-23	NLGN4X
2.36E-44	0.560281016	0.679	0.236	5.09E-40	ANO4
4.18E-33	0.557342979	0.412	0.129	9.03E-29	CSGALNACT1
1.23E-30	0.556154031	0.484	0.168	2.66E-26	SCN1A
3.23E-57	0.546348136	0.462	0.104	6.97E-53	PLPPR1
6.84E-49	0.544577563	0.376	0.086	1.48E-44	PID1
3.76E-20	0.533041156	0.367	0.141	8.12E-16	CSMD2
3.21E-28	0.528085078	0.819	0.432	6.94E-24	SCD5
1.92E-28	0.527998942	0.792	0.389	4.14E-24	ADGRL3
2.03E-34	0.526865547	0.656	0.26	4.37E-30	PHACTR3
8.26E-36	0.526750781	0.742	0.29	1.78E-31	MDGA2
1.31E-23	0.526452245	0.271	0.082	2.82E-19	MPPED2
2.98E-30	0.526207434	0.842	0.445	6.42E-26	APOD
2.99E-45	0.52272116	0.457	0.118	6.45E-41	CHD7
7.41E-45	0.517873497	0.348	0.078	1.60E-40	NKAIN3
6.30E-19	0.515099602	0.557	0.256	1.36E-14	TRIO
1.11E-45	0.511498004	0.633	0.201	2.39E-41	KAT2B
4.38E-37	0.510866179	0.511	0.163	9.45E-33	DAB1
1.83E-31	0.510193618	0.674	0.264	3.95E-27	FGF12
1.45E-48	0.509534985	0.344	0.073	3.13E-44	RAB31
3.52E-58	0.50875107	0.914	0.297	7.59E-54	CSMD1
