p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
0	1.595357184	0.689	0.056	0	ARHGAP24
1.33E-143	1.590018994	0.933	0.304	2.86E-139	PLXDC2
3.67E-200	1.385445765	0.718	0.103	7.92E-196	C10orf11
0	1.380144923	0.55	0.028	0	DOCK8
0	1.303153218	0.496	0.025	0	APBB1IP
2.71E-307	1.257580752	0.307	0.011	5.85E-303	P2RY12
0	1.247302458	0.429	0.018	0	ADAM28
8.78E-289	1.186603255	0.487	0.031	1.90E-284	FYB
1.82E-97	1.181631643	0.832	0.253	3.92E-93	SLC1A3
0	1.139232261	0.445	0.024	0	RGS1
2.18E-211	1.12974749	0.332	0.02	4.71E-207	OLR1
3.44E-82	1.115527862	0.584	0.143	7.43E-78	SFMBT2
1.50E-74	1.088160077	0.912	0.463	3.25E-70	DOCK4
8.03E-248	1.08256117	0.374	0.021	1.73E-243	CSF1R
5.68E-111	1.038429965	0.529	0.093	1.23E-106	CHST11
2.84E-84	1.034644765	0.424	0.077	6.13E-80	ST6GAL1
1.63E-275	1.028797541	0.403	0.022	3.52E-271	TBXAS1
2.78E-206	1.022449115	0.387	0.028	6.01E-202	C3
8.83E-168	1.018610188	0.437	0.043	1.90E-163	ARHGAP15
8.76E-77	1.017661688	0.508	0.116	1.89E-72	SRGAP2
5.87E-146	1.004861629	0.261	0.018	1.27E-141	MSR1
1.97E-129	1.002080718	0.303	0.028	4.25E-125	ATP8B4
3.78E-268	0.983264081	0.298	0.012	8.16E-264	CSF2RA
3.95E-71	0.971579258	0.454	0.1	8.52E-67	BMP2K
4.08E-64	0.964873336	0.824	0.333	8.80E-60	FRMD4A
1.89E-120	0.953939354	0.265	0.023	4.08E-116	FAM149A
4.74E-109	0.929448186	0.353	0.043	1.02E-104	TGFBR1
2.05E-67	0.917040123	0.622	0.185	4.43E-63	SYNDIG1
1.40E-220	0.891581474	0.265	0.012	3.03E-216	RP11.556E13.1
1.64E-56	0.890090061	0.45	0.114	3.54E-52	MAML3
1.17E-48	0.883596013	0.471	0.137	2.53E-44	FGD4
6.32E-65	0.877818781	0.399	0.086	1.36E-60	RP11.624C23.1
2.72E-73	0.871266594	0.256	0.033	5.87E-69	APOC1
5.07E-47	0.865763639	0.496	0.157	1.09E-42	ITPR2
2.37E-92	0.862779463	0.273	0.031	5.12E-88	ABCC4
6.77E-72	0.859258255	0.672	0.194	1.46E-67	APOE
1.44E-103	0.853856952	0.37	0.049	3.11E-99	RUNX1
5.00E-145	0.853707924	0.328	0.028	1.08E-140	BNC2
5.19E-133	0.849985289	0.273	0.021	1.12E-128	C1QB
2.61E-67	0.842837606	0.298	0.048	5.64E-63	NHSL1
5.04E-47	0.837568045	0.618	0.232	1.09E-42	LDLRAD4
1.33E-69	0.829981012	0.315	0.051	2.86E-65	DISC1
1.57E-38	0.821511721	0.538	0.2	3.39E-34	KCNQ3
3.00E-66	0.821323545	0.622	0.18	6.48E-62	ANKRD44
6.88E-63	0.819073073	0.613	0.178	1.49E-58	MAML2
1.16E-203	0.816141215	0.273	0.014	2.50E-199	LY86
2.37E-92	0.813387795	0.324	0.042	5.12E-88	LHFPL2
1.74E-64	0.812745034	0.324	0.058	3.76E-60	CYFIP1
1.97E-46	0.808008177	0.445	0.125	4.25E-42	HS3ST4
9.44E-46	0.807844319	0.357	0.09	2.04E-41	MGAT4A
7.70E-145	0.80547075	0.261	0.018	1.66E-140	RBM47
3.68E-38	0.78996922	0.462	0.156	7.95E-34	FOXN3
1.61E-96	0.784711085	0.345	0.046	3.47E-92	AOAH
1.66E-166	0.77567212	0.307	0.021	3.57E-162	SAMSN1
1.59E-50	0.768721557	0.517	0.156	3.44E-46	PTPRJ
4.88E-50	0.767012186	0.45	0.123	1.05E-45	ETV6
1.89E-44	0.757632046	0.366	0.094	4.07E-40	RTTN
1.37E-43	0.755334426	0.681	0.289	2.96E-39	MEF2A
5.08E-34	0.727024765	0.286	0.076	1.10E-29	SH3RF3
4.27E-42	0.723676874	0.815	0.399	9.22E-38	SPP1
4.01E-104	0.717832017	0.303	0.033	8.66E-100	DOCK2
2.26E-30	0.709832728	0.618	0.29	4.88E-26	SORL1
1.78E-44	0.703828047	0.273	0.056	3.83E-40	GNB4
2.59E-26	0.68108743	0.298	0.094	5.58E-22	PELI1
2.40E-92	0.680232918	0.311	0.038	5.18E-88	SLCO2B1
3.24E-32	0.669903514	0.378	0.124	6.98E-28	DIAPH2
1.16E-20	0.66706653	0.546	0.279	2.51E-16	NAV3
6.25E-48	0.661587569	0.256	0.047	1.35E-43	NPL
1.65E-40	0.645050771	0.29	0.068	3.55E-36	PAG1
6.91E-31	0.63856731	0.676	0.305	1.49E-26	MEF2C
1.78E-104	0.638440209	0.298	0.032	3.85E-100	INPP5D
2.59E-37	0.63134742	0.286	0.068	5.59E-33	BACH1
6.80E-34	0.625622501	0.391	0.121	1.47E-29	PADI2
3.00E-25	0.618464229	0.588	0.289	6.47E-21	FAM49B
2.23E-112	0.611578283	0.319	0.034	4.82E-108	PTPRC
1.45E-23	0.609888122	0.353	0.132	3.14E-19	TBC1D22A
6.24E-26	0.609722635	0.429	0.172	1.35E-21	ABR
1.08E-29	0.59927026	0.555	0.221	2.33E-25	PREX1
5.36E-45	0.594041767	0.294	0.062	1.16E-40	FMNL3
2.01E-31	0.587250488	0.546	0.216	4.34E-27	SLC9A9
8.38E-28	0.585306575	0.466	0.184	1.81E-23	FCHSD2
1.65E-23	0.581322357	0.332	0.12	3.56E-19	AKAP13
1.23E-24	0.57378449	0.319	0.106	2.65E-20	RNF213
8.39E-30	0.573637749	0.727	0.377	1.81E-25	SSH2
5.34E-17	0.564190656	0.408	0.193	1.15E-12	ATG7
1.24E-30	0.555726195	0.366	0.116	2.69E-26	BHLHE41
1.56E-34	0.54920343	0.349	0.098	3.37E-30	ZFP36L1
4.60E-31	0.546841025	0.424	0.143	9.94E-27	IFNGR1
1.25E-27	0.540105907	0.483	0.184	2.71E-23	GLDN
1.29E-14	0.531495089	0.546	0.317	2.78E-10	GRID2
6.34E-42	0.530777661	0.336	0.081	1.37E-37	IFI16
9.61E-157	0.529588772	0.626	0.09	2.07E-152	CD74
4.88E-18	0.52129412	0.261	0.094	1.05E-13	GALNT2
5.44E-30	0.519223297	0.475	0.177	1.17E-25	FKBP5
5.30E-35	0.510634119	0.357	0.101	1.14E-30	SRGAP1
1.01E-24	0.507079164	0.265	0.08	2.19E-20	SLC4A7
7.22E-25	0.50205026	0.815	0.51	1.56E-20	ELMO1
1.01E-22	0.500557126	0.265	0.082	2.18E-18	RASSF8
