p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
0.00E+00	3.152735855	0.939	0.051	0.00E+00	LHFPL3
0.00E+00	3.011435099	0.949	0.126	0.00E+00	TNR
0.00E+00	2.881944725	0.951	0.072	0.00E+00	PTPRZ1
0.00E+00	2.752767941	0.879	0.059	0.00E+00	PCDH15
0	2.547133512	0.875	0.051	0	VCAN
0.00E+00	2.526062398	0.963	0.226	0.00E+00	DSCAM
0.00E+00	2.368110485	0.949	0.258	0.00E+00	LRRC4C
0.00E+00	2.227684382	0.751	0.064	0.00E+00	SOX6
0.00E+00	2.147322622	0.768	0.08	0.00E+00	LUZP2
0.00E+00	2.071537733	0.7	0.089	0.00E+00	CA10
0.00E+00	2.019988561	0.786	0.172	0.00E+00	MMP16
0.00E+00	2.006551037	0.593	0.015	0.00E+00	MEGF11
0.00E+00	1.979670413	0.731	0.109	0.00E+00	XYLT1
0.00E+00	1.787334772	0.668	0.077	0.00E+00	TMEM132C
0.00E+00	1.730481775	0.561	0.051	0.00E+00	LINC00511
0.00E+00	1.727459341	0.572	0.038	0.00E+00	NXPH1
0.00E+00	1.718442488	0.65	0.101	0.00E+00	SEMA5A
0.00E+00	1.717692989	0.783	0.163	0.00E+00	PDZD2
0.00E+00	1.702015325	0.63	0.1	0.00E+00	OPHN1
0.00E+00	1.700741104	0.458	0.039	0.00E+00	KCNMB2.AS1
0.00E+00	1.676344529	0.556	0.041	0.00E+00	BCAN
1.44E-293	1.63659815	0.726	0.175	3.10E-289	SLC35F1
0.00E+00	1.604960524	0.628	0.08	0.00E+00	CHST11
0.00E+00	1.602798044	0.776	0.164	0.00E+00	MAML2
9.22E-204	1.589104234	0.759	0.257	1.99E-199	KAZN
0.00E+00	1.587447237	0.948	0.272	0.00E+00	OPCML
0.00E+00	1.58541159	0.507	0.055	0.00E+00	COL11A1
0.00E+00	1.567504102	0.579	0.094	0.00E+00	DGKG
1.13E-271	1.563456612	0.877	0.301	2.44E-267	DPP6
4.25E-250	1.53720886	0.825	0.266	9.18E-246	NRCAM
9.61E-285	1.507226153	0.618	0.122	2.07E-280	BRINP3
0.00E+00	1.486392267	0.374	0.003	0.00E+00	RP4.668E10.4
1.39E-234	1.481876677	0.687	0.182	3.01E-230	KCND2
0.00E+00	1.47985748	0.589	0.07	0.00E+00	SMOC1
1.71E-289	1.477715399	0.906	0.3	3.68E-285	GRID2
0	1.45771489	0.438	0.047	0	UST
3.18E-272	1.452396543	0.961	0.408	6.86E-268	NLGN1
2.27E-244	1.44659723	0.781	0.236	4.89E-240	EPN2
0.00E+00	1.444719003	0.556	0.053	0.00E+00	GRIK1
2.86E-218	1.438460135	0.542	0.12	6.18E-214	SEZ6L
0.00E+00	1.412109765	0.342	0.004	0.00E+00	COL9A1
3.67E-243	1.404806783	0.779	0.225	7.92E-239	CSMD3
2.73E-240	1.379509079	0.758	0.208	5.90E-236	SNTG1
5.01E-257	1.36461699	0.646	0.14	1.08E-252	DCC
1.70E-262	1.343686265	0.773	0.198	3.67E-258	OLIG1
0.00E+00	1.342453785	0.311	0.009	0.00E+00	STK32A
6.65E-200	1.337359187	0.891	0.413	1.43E-195	NOVA1
1.94E-219	1.337018638	0.736	0.218	4.20E-215	GALNT13
1.48E-244	1.317995009	0.901	0.283	3.19E-240	FGF14
6.90E-203	1.302892393	0.5	0.108	1.49E-198	NLGN4X
2.49E-181	1.293052148	0.66	0.207	5.36E-177	CHL1
1.43E-181	1.291557236	0.756	0.253	3.09E-177	FGF12
0.00E+00	1.278326981	0.328	0.006	0.00E+00	PDGFRA
5.54E-189	1.260662079	0.65	0.185	1.20E-184	ZFPM2
0.00E+00	1.259649296	0.343	0.028	0.00E+00	SLC24A3
7.24E-278	1.254971732	0.354	0.038	1.56E-273	ALK
3.70E-235	1.240592663	0.369	0.049	7.98E-231	SEMA3E
7.10E-271	1.223393529	0.468	0.068	1.53E-266	NKAIN3
8.99E-167	1.217983715	0.534	0.14	1.94E-162	XKR4
1.04E-201	1.215792391	0.581	0.139	2.24E-197	ZNF462
1.62E-179	1.211906973	0.697	0.227	3.51E-175	NAV1
9.32E-111	1.202293587	0.502	0.174	2.01E-106	NLGN4Y
1.15E-154	1.180793909	0.554	0.159	2.48E-150	SCN1A
2.30E-266	1.175248116	0.96	0.282	4.96E-262	CSMD1
0.00E+00	1.167176521	0.328	0.025	0.00E+00	PRRX1
5.83E-172	1.164330563	0.628	0.182	1.26E-167	GRM7
2.28E-133	1.151785894	0.392	0.093	4.93E-129	SORCS3
