p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
4.00E-198	1.139570792	0.488	0.221	8.62E-194	EFHD1
3.11E-236	1.099330652	0.576	0.278	6.72E-232	AMER2
3.07E-164	1.091469376	0.265	0.076	6.62E-160	LURAP1L.AS1
1.95E-161	1.012718877	0.514	0.281	4.21E-157	KCNMB4
4.77E-159	1.009508971	0.525	0.293	1.03E-154	NDRG1
5.86E-131	0.983724601	0.335	0.137	1.26E-126	CDH19
2.19E-87	0.971540387	0.269	0.119	4.73E-83	ABCA6
1.24E-104	0.963592675	0.287	0.12	2.67E-100	MID1IP1
1.42E-242	0.92063325	0.69	0.357	3.07E-238	CLDN11
1.95E-109	0.918858122	0.423	0.234	4.20E-105	SUN2
0	0.903846085	0.892	0.554	0	CRYAB
6.84E-120	0.880871207	0.529	0.344	1.48E-115	KLHL32
1.13E-107	0.863611089	0.382	0.188	2.43E-103	VRK2
1.67E-101	0.836100014	0.414	0.224	3.60E-97	SLCO1A2
2.30E-166	0.834300101	0.606	0.345	4.96E-162	CNTN2
1.62E-281	0.832313683	0.852	0.554	3.50E-277	EDIL3
2.23E-84	0.828649405	0.4	0.234	4.81E-80	PHLDB1
5.28E-74	0.817923378	0.293	0.147	1.14E-69	BOK
0	0.817581702	0.99	0.594	0	PLP1
1.24E-68	0.804587962	0.279	0.14	2.67E-64	PDK4
5.27E-148	0.798772894	0.657	0.442	1.14E-143	ERBB2IP
4.19E-112	0.7917117	0.567	0.394	9.04E-108	BIN1
4.02E-114	0.791608803	0.562	0.366	8.68E-110	SGK1
2.39E-265	0.790603892	0.843	0.51	5.15E-261	PIP4K2A
5.86E-258	0.783029215	0.895	0.594	1.27E-253	MBP
4.85E-88	0.780986127	0.4	0.226	1.05E-83	CLMN
2.43E-165	0.780197068	0.674	0.432	5.25E-161	ABCA2
1.48E-70	0.771704952	0.271	0.129	3.20E-66	LINC01608
7.75E-123	0.7660805	0.511	0.285	1.67E-118	SEPP1
8.87E-71	0.762363456	0.446	0.304	1.92E-66	CDK19
3.82E-95	0.761491366	0.544	0.385	8.25E-91	ARAP2
1.09E-42	0.761238951	0.288	0.181	2.35E-38	PTPN13
1.77E-176	0.757890948	0.742	0.534	3.83E-172	PTPRK
4.16E-190	0.757340176	0.769	0.511	8.98E-186	MAN2A1
2.57E-57	0.756345865	0.461	0.355	5.55E-53	AGTPBP1
1.59E-111	0.754081543	0.473	0.262	3.43E-107	ANLN
1.77E-60	0.750760871	0.315	0.179	3.83E-56	NKX6.2
1.22E-133	0.748387565	0.668	0.5	2.63E-129	SPOCK1
8.55E-260	0.744923358	0.866	0.487	1.85E-255	CTNNA3
1.08E-66	0.737576213	0.328	0.182	2.33E-62	ABCA8
6.24E-106	0.736612995	0.556	0.372	1.35E-101	SLAIN1
1.38E-106	0.73472375	0.573	0.391	2.97E-102	ALCAM
7.90E-292	0.725451681	0.951	0.686	1.70E-287	IL1RAPL1
2.52E-152	0.725047136	0.698	0.481	5.43E-148	SHTN1
4.14E-180	0.720540135	0.713	0.411	8.93E-176	TMEM144
8.64E-139	0.716885616	0.666	0.447	1.87E-134	PHLPP1
6.17E-28	0.712250613	0.27	0.191	1.33E-23	SLC38A2
