gene	cluster
LINC02147	1
IL1R1	1
LRRC1	1
AL109930.1	1
BNC2	1
CRIM1	1
ADGRG6	1
FOXP1	1
IL4R	1
VWF	1
IL6ST	1
ACTN1	1
ITGA2	1
TGFBR2	1
SDK1	1
IL6R	1
PDE4D	1
KCNJ6	1
KIF26B	1
SMAD1	1
PLA1A	1
SAMD5	1
MKL2	1
PRSS12	1
IGF2BP2	1
MBNL1	1
SH3RF3	1
TEAD1	1
AL033504.1	1
PLEKHH2	1
TPD52L1	1
USP53	1
CEMIP	1
TCAF2	1
ARID5B	1
RAMP3	1
AC008892.1	1
ACSL4	1
TPM4	1
ZNF521	1
EPS8	1
FBXO34	1
LEPR	1
CALCRL	1
ZNF608	1
IL17RD	1
AL033384.2	1
TGFBR3	1
RNF145	1
OBSCN	1
SMAD9	1
AL138828.1	1
CDH6	1
RYR3	1
SMAD3	1
RALGAPA2	1
TGFB2	1
LAMC1	1
ATP8B1	1
ITGA10	1
TMTC2	1
NOVA1	1
MAP3K8	1
CFTR	1
OSMR	1
AC130650.1	1
TSPAN18	1
RALGPS2	1
FBXO21	1
HS6ST2	1
STOX2	1
CACNA1C	1
PLA2G4A	1
HIPK3	1
CNKSR3	1
KLHL6	1
SLC26A2	1
CADPS2	1
CAVIN2	1
PGM5	1
TRIB1	1
ANKRD55	1
AF130417.1	1
CLIC4	1
NKTR	1
JAM2	1
FAM19A4	1
LAMA4	1
ANGPTL4	1
GBP2	1
CBLB	1
NSMCE1	1
RBMS1	1
ITGAV	1
NUP50-DT	1
AL162718.1	1
LITAF	1
COL4A2	1
SLC4A7	1
CPE	1
ACTN4	1
SH3D19	1
LY96	1
CFLAR	1
TRIM5	1
SASH1	1
NEXN	1
FLRT2	1
FOXO1	1
PRCP	1
FANCC	1
SUSD6	1
FEZ2	1
SH3BGRL2	1
JAK2	1
TIPARP	1
DOK5	1
SHROOM4	1
COTL1	1
MAN1A1	1
UGP2	1
SNTG2	1
TENT5A	1
COL4A1	1
TNFRSF10B	1
CCDC50	1
CTNNB1	1
EPB41L5	1
EFEMP1	1
RAB30	1
ABHD2	1
PIK3C2A	1
PTPN14	1
DNAJC5	1
TMEM87B	1
MAN1A2	1
DEPDC1B	1
AC007319.1	1
SERPINB1	1
UPP1	1
PFKP	1
SEC14L1	1
CPEB2	1
SLC25A29	1
HBEGF	1
N4BP1	1
TIMP1	1
IFNGR1	1
P2RX4	1
RUNX1T1	1
RNF180	1
ATP2B4	1
