gene	cluster
DAB1	1
SGIP1	1
LRRC7	1
NEGR1	1
KIRREL1	1
ATP1A2	1
KCNT2	1
SLC30A10	1
NID1	1
NRXN1	1
LRRTM4	1
DPP10	1
THSD7B	1
LRP1B	1
SLC38A11	1
CERS6	1
MYO1B	1
PLCL1	1
MAP2	1
COL4A3	1
PID1	1
CNTN4	1
SLC6A1	1
RFTN1	1
CTDSPL	1
CACNA2D3	1
ERC2	1
ROBO2	1
CADM2	1
LSAMP	1
STXBP5L	1
KALRN	1
MED12L	1
P2RY14	1
PPM1L	1
NLGN1	1
DGKG	1
LPP	1
KCNIP4	1
APBB2	1
ADGRL3	1
MAPK10	1
GRID2	1
UNC5C	1
INPP4B	1
ARHGAP10	1
GRIA2	1
SH3RF1	1
SEMA5A	1
CDH6	1
PDZD2	1
RANBP3L	1
SLC1A3	1
EDIL3	1
PRR16	1
GRAMD2B	1
CHSY3	1
PDGFRB	1
DAAM2	1
RCAN2	1
DST	1
ADGRB3	1
GRIK2	1
PTPRK	1
LAMA2	1
PDE7B	1
UST	1
DGKB	1
MAGI2	1
CACNA2D1	1
GRM3	1
CDK14	1
DYNC1I1	1
GRM8	1
CALD1	1
CNTNAP2	1
ARHGAP6	1
IL1RAPL1	1
DMD	1
CSMD1	1
DLC1	1
LZTS1	1
RBPMS	1
SLC20A2	1
PAG1	1
RALYL	1
CSMD3	1
SNTB1	1
PTPRD	1
FRMD3	1
ST5	1
ANO3	1
MPPED2	1
GRM5	1
ARHGAP42	1
OPCML	1
ADARB2	1
CACNB2	1
PARD3	1
PRKG1	1
PTEN	1
PLCE1	1
GRK5	1
CACNA1C	1
EPS8	1
PLEKHA5	1
PDE3A	1
TMTC1	1
CPM	1
SYT1	1
LIN7A	1
PPFIA2	1
ADGRD1	1
ENOX1	1
PCDH9	1
GPC5	1
FGF14	1
NRXN3	1
CLMN	1
RORA	1
NTRK3	1
RBFOX1	1
ZFHX3	1
SHISA6	1
SPECC1	1
PLXDC1	1
GJC1	1
COLEC12	1
RNF152	1
BCL2	1
CCDC102B	1
DOK6	1
ADAM33	1
RIPOR3	1
NCAM2	1
CAMTA1	2
SPEN	2
LUZP1	2
EPB41	2
MACF1	2
RNF220	2
PODN	2
ST6GALNAC3	2
PRKACB	2
SPATA1	2
GBP2	2
TGFBR3	2
ARHGAP29	2
PLPPR4	2
CDC14A	2
MAGI3	2
SRGAP2B	2
TDRD10	2
DNM3	2
PLA2G4A	2
SRGAP2	2
SMYD2	2
CNST	2
ITSN2	2
NCOA1	2
EFR3B	2
SLC5A6	2
BABAM2	2
PRKD3	2
SOS1	2
CAMKMT	2
PRKCE	2
CCDC85A	2
COMMD1	2
EXOC6B	2
KDM3A	2
TBC1D8	2
TMEM87B	2
MGAT5	2
PKP4	2
TANC1	2
BAZ2B	2
COBLL1	2
ITGA6	2
CCDC141	2
ZNF385B	2
SSFA2	2
SLC39A10	2
SF3B1	2
CFLAR	2
CASP10	2
BMPR2	2
NRP2	2
AGFG1	2
C2orf83	2
SLC19A3	2
SLC16A14	2
