gene	cluster
PRDM16	1
VPS13D	1
FBLIM1	1
ARHGEF10L	1
TRABD2B	1
SSBP3	1
PLPP3	1
TTLL7	1
CASQ2	1
PLEKHO1	1
KIRREL1	1
NMNAT2	1
FAM129A	1
CSRP1	1
LMOD1	1
PPP1R12B	1
NFASC	1
ATF3	1
MARK1	1
ENAH	1
RYR2	1
ALKAL2	1
LBH	1
LTBP1	1
SLC8A1	1
NRXN1	1
ACTG2	1
LRRTM4	1
REEP1	1
ARID5A	1
SH3RF3	1
DPP10	1
LRP1B	1
SLC38A11	1
PDE1A	1
NBEAL1	1
ERBB4	1
DES	1
SPEG	1
ACKR3	1
RAMP1	1
GRIP2	1
SUSD5	1
DOCK3	1
CACNA2D3	1
ERC2	1
SLMAP	1
FAM19A1	1
EOGT	1
ROBO2	1
CADM2	1
NFKBIZ	1
PHLDB2	1
SEMA5B	1
ADCY5	1
KCNAB1	1
IQCJ-SCHIP1	1
PPM1L	1
DGKG	1
BCL6	1
LPP	1
KCNIP4	1
TBC1D1	1
GABRB1	1
PARM1	1
GRID2	1
PDLIM5	1
UNC5C	1
ANK2	1
SYNPO2	1
PDE5A	1
EDNRA	1
ARHGAP10	1
TMEM131L	1
GRIA2	1
PALLD	1
PDLIM3	1
FAT1	1
SSBP2	1
EDIL3	1
ELL2	1
DPYSL3	1
EBF1	1
SLIT3	1
HRH2	1
PDLIM7	1
PHACTR1	1
CAP2	1
ID4	1
TEAD3	1
CDKN1A	1
RCAN2	1
ADGRB3	1
FILIP1	1
TBX18	1
FHL5	1
GRIK2	1
PLN	1
MAP3K5	1
SLC22A3	1
SDK1	1
DGKB	1
CACNA2D1	1
DYNC1I1	1
SMURF1	1
NRCAM	1
CALD1	1
HIPK2	1
CNTNAP2	1
DMD	1
DACH2	1
PLS3	1
FLNA	1
CSMD1	1
RBPMS	1
SDC2	1
CSMD3	1
COL14A1	1
PTPRD	1
FREM1	1
LINGO2	1
PIP5K1B	1
PRUNE2	1
TMOD1	1
NR4A3	1
PTPN3	1
MRVI1	1
MICAL2	1
SOX6	1
C11orf96	1
FADS3	1
TAGLN	1
PCSK7	1
MCAM	1
OPCML	1
IGSF9B	1
FRMD4A	1
FAM107B	1
ITGA8	1
CACNB2	1
MYO3A	1
MPP7	1
PRKG1	1
ARID5B	1
CTNNA3	1
CAMK2G	1
KCNMA1	1
GRID1	1
LDB3	1
ACTA2	1
TACC2	1
CACNA1C	1
NTF3	1
ETV6	1
GPRC5A	1
PDE3A	1
SOX5	1
STK38L	1
PCED1B	1
NR4A1	1
ITGA7	1
AVPR1A	1
MSRB3	1
KCNC2	1
PPP1R12A	1
PPFIA2	1
NUDT4	1
NTN4	1
ANKS1B	1
NT5DC3	1
CABP1	1
SACS	1
FRY	1
DGKH	1
PCDH9	1
GPC6	1
HS6ST3	1
FGF14	1
COL4A1	1
COL4A2	1
ARHGEF7	1
AKAP6	1
MDGA2	1
ACTN1	1
RGS6	1
CLMN	1
THBS1	1
UNC13C	1
MYO1E	1
RBPMS2	1
NTRK3	1
CACNA1H	1
SRL	1
RBFOX1	1
GRIN2A	1
MYH11	1
ARHGAP17	1
ZFHX3	1
CRISPLD2	1
NTN1	1
MYOCD	1
MYO1D	1
ITGA3	1
VMP1	1
SOCS3	1
MYOM1	1
DLGAP1	1
L3MBTL4	1
DTNA	1
MAPRE2	1
SETBP1	1
ZBTB7C	1
MACROD2	1
MYL9	1
JPH2	1
GADD45B	1
CNN1	1
ERCC1	1
FOSB	1
DACT3	1
CSDC2	1
ADAMTS1	1
MAP3K7CL	1
AGRN	2
PLEKHG5	2
PIK3CD	2
TNFRSF1B	2
PRDM2	2
LUZP1	2
SDC3	2
SMAP2	2
RNF220	2
ST6GALNAC3	2
TGFBR3	2
DR1	2
ARHGAP29	2
NTNG1	2
CSF1	2
SLC16A4	2
WNT2B	2
ATP1A2	2
COPA	2
DDR2	2
RGS4	2
FMO2	2
XPR1	2
RGL1	2
KCNT2	2
CFH	2
NAV1	2
PRELP	2
PLXNA2	2
SLC30A10	2
ITPKB	2
CDC42BPA	2
DISC1	2
SIPA1L2	2
LYST	2
SDCCAG8	2
MBOAT2	2
EFR3B	2
VIT	2
EIF2AK2	2
CYP1B1	2
SOS1	2
REL	2
VPS54	2
PELI1	2
SERTAD2	2
CNRIP1	2
ARHGAP25	2
ST3GAL5	2
FHL2	2
CD8B2	2
BAZ2B	2
STK39	2
CERS6	2
CHN1	2
SSFA2	2
HIBCH	2
MYO1B	2
SF3B1	2
FAM117B	2
ABI2	2
CREB1	2
METTL21A	2
KCNE4	2
COL4A4	2
COL4A3	2
PID1	2
SLC16A14	2
SP110	2
SP100	2
ITM2C	2
INPP5D	2
AGAP1	2
SUMF1	2
SLC6A1	2
ANKRD28	2
OXNAD1	2
TOP2B	2
RBMS3	2
CMTM7	2
GLB1	2
SNRK	2
PTH1R	2
SEMA3G	2
FRMD4B	2
PPP4R2	2
CRYBG3	2
CD86	2
PARP9	2
PARP14	2
RPN1	2
EFCC1	2
SLC35G2	2
SLC9A9	2
ZIC1	2
HPS3	2
P2RY14	2
GOLIM4	2
PIK3CA	2
SH3TC1	2
LDB2	2
RBPJ	2
STIM2	2
RELL1	2
SCFD2	2
CHIC2	2
SEPT11	2
ANTXR2	2
SNCA	2
DNAJB14	2
EMCN	2
MANBA	2
CISD2	2
TRPC3	2
PGRMC2	2
PCDH18	2
SLC7A11	2
NR3C2	2
SH3D19	2
RAPGEF2	2
DDX60L	2
CLCN3	2
WWC2	2
STOX2	2
SLC12A7	2
SEMA5A	2
ANKH	2
PDZD2	2
SLC1A3	2
FYB1	2
PRKAA1	2
ARL15	2
ERBIN	2
NAIP	2
FOXD1	2
IQGAP2	2
PDE8B	2
LHFPL2	2
SERINC5	2
RASGRF2	2
NR2F1	2
MCTP1	2
RHOBTB3	2
WDR36	2
EPB41L4A	2
DCP2	2
MCC	2
SLC12A2	2
ARHGAP26	2
NR3C1	2
DOCK2	2
LCP2	2
KCNIP1	2
STK10	2
PSMG4	2
F13A1	2
BMP6	2
GCNT2	2
GFOD1	2
CD83	2
JARID2	2
RNF144B	2
TRIM38	2
NOTCH4	2
RUNX2	2
MYO6	2
UBE3D	2
PDSS2	2
FYN	2
DSE	2
MAN1A1	2
RNF217	2
LAMA2	2
AKAP7	2
STX7	2
SLC2A12	2
PDE7B	2
NHSL1	2
SASH1	2
UST	2
EZR	2
IGF2R	2
QKI	2
PDE10A	2
RPS6KA2	2
AFDN	2
GPER1	2
THSD7A	2
RAPGEF5	2
TAX1BP1	2
AVL9	2
KBTBD2	2
ELMO1	2
STARD3NL	2
IKZF1	2
GSAP	2
PTPN12	2
GRM3	2
KMT2E	2
DOCK4	2
FOXP2	2
CADPS2	2
GRM8	2
PARP12	2
DENND2A	2
KIAA1147	2
MOSPD2	2
CLCN5	2
IGBP1	2
SRPX2	2
XIAP	2
PCM1	2
PSD3	2
CSGALNACT1	2
LPL	2
LZTS1	2
ELP3	2
KIF13B	2
IKBKB	2
LYN	2
CHD7	2
SGK3	2
PREX2	2
PAG1	2
RBM12B	2
BAALC	2
MTSS1	2
ST3GAL1	2
MOB3B	2
RGP1	2
CNTNAP3B	2
OSTF1	2
GCNT1	2
FRMD3	2
SYK	2
CENPP	2
IPPK	2
COL15A1	2
SLC44A1	2
ZNF618	2
FBXW2	2
PSMD5	2
GPR107	2
LAMC3	2
RAPGEF1	2
NOTCH1	2
EGFL7	2
RNH1	2
TSPAN4	2
KCNQ1	2
TRIM5	2
TEAD1	2
PSMA1	2
PDE3B	2
FAM111A	2
MS4A4A	2
ARRB1	2
ENDOD1	2
CASP4	2
EXPH5	2
SIK2	2
PHLDB1	2
CLMP	2
ETS1	2
ADARB2	2
ITIH5	2
PLXDC2	2
NEBL	2
ARHGAP12	2
MARCH8	2
PARG	2
BICC1	2
HERC4	2
SGPL1	2
UNC5B	2
LRMDA	2
ZMIZ1	2
PTEN	2
RNLS	2
SLC16A12	2
EXOC6	2
TBC1D12	2
PIK3AP1	2
ADD3	2
PTPRE	2
KDM5A	2
WNK1	2
ANO2	2
CD163	2
RIMKLB	2
CLEC2D	2
EMP1	2
RECQL	2
ABCC9	2
TM7SF3	2
CPNE8	2
ARID2	2
KMT2D	2
DIP2B	2
TNS2	2
LRP1	2
CPM	2
KITLG	2
APAF1	2
DRAM1	2
CHST11	2
ACACB	2
SH2B3	2
TMEM132C	2
ADGRD1	2
LATS2	2
FLT1	2
PROSER1	2
FOXO1	2
AKAP11	2
