aEndo	capEndo	vEndo	aSMC	vSMC	Per1	Per2	Fib1	Fib2	Fib3
SAMD11	0	0.00286288694183775	0.0410038170357079	0	0.00480605779400726	0.00879181802547995	0.052102946562473	0.157069591762248	0.0563950822285911	0.449484289280363
NOC2L	0.2400086237658	0.213256433007282	0.123170524827623	0.271278239092423	0.162390538165545	0.143850451800878	0.22258336506234	0.173395206675846	0.20896255702125	0.221950523819008
KLHL17	0.042846356875395	0.00980864482223754	0.0169034862465963	0.0659742137350033	0.0178382306281418	0.0226924033096617	0.072234819540916	0.037854826282852	0.0320446367131821	0.0368152381689316
PLEKHN1	0	0	0	0	0	0.000978671021442204	0	0	0	0.0230560561530182
PERM1	0	0	0	0	0	0.00110661641924397	0	0	0	0
HES4	1.04617327820513	0.403922509351425	0.276935716247056	1.28369399295807	1.14674453437154	1.3791155383756	1.7456210472476	0.594150895844527	0.572055973159827	1.11311454825314
ISG15	0.394779566479833	0.195969631887854	0.218034116714869	0.413762919873199	0.736661802465983	0.867922520756624	0.62110830662364	0.247564406083519	0.309485028756508	0.172817652826647
AGRN	0.538686452791759	0.30506128140625	0.356942735592139	0.517939227047918	0.798669896477655	0.927357782934546	1.2608370582166	0.295394702597688	0.153983644904776	0.248596704929579
C1orf159	0.218552105985363	0.21310987132632	0.239140671789387	0.217128242848838	0.213052634536673	0.193853860665264	0.358464791978643	0.385687432213169	0.316315014861376	0.185297579437005
TTLL10	0	0.0055307036330802	0.00873708265098093	0	0.0124533104732562	0.0166633972927773	0	0.00714878019990217	0.0190554942870324	0.0128086184388831
TNFRSF18	0.0196046075220133	0.010168476129478	0.0110839072438906	0	0.00403098650573797	0.000928335506718663	0	0.0264097247319411	0.239947223466369	0.0433323735709538
TNFRSF4	0.027398690204388	0.0162172955959111	0.0489016408119432	0.0453945367796986	0.0424133472831218	0.0689474137410585	0	0	0.0081341469091178	0
SDF4	0.249124919442544	0.171677044071634	0.228834752657235	0.225832326940494	0.285863677359443	0.265794382260074	0.201151080312265	0.173451350119846	0.264518490321508	0.253229279710339
B3GALT6	0.0369336220300262	0.0467354348885256	0.0220726131560751	0.0492100566283536	0.0966862248614321	0.0897420777952025	0.0287232678401347	0.016303201851203	0.0234210698431543	0.0226824601531157
C1QTNF12	0.0213300473788321	0.0117988568316785	0	0	0.00978672516938517	0.00438210307767405	0	0.00864729653733001	0	0.0143025078555585
UBE2J2	0.230434359423181	0.254921000466982	0.31649278151468	0.288517190523344	0.2596141051801	0.294516609079656	0.128490027581468	0.30514765459691	0.19740278195582	0.294115326939756
SCNN1D	0.0228637866437354	0.0110605177497078	0.0522939911420739	0.131454681053109	0.0319788054511778	0.0167222199131123	0.0563837090366959	0.0922519873971235	0.0480265081437196	0.082532540943238
ACAP3	0.325122984257859	0.298118017592978	0.320341998133773	0.230140503203828	0.13380834751786	0.172739240505849	0.304626792318152	0.396561551750742	0.525143813719823	0.419608866266478
PUSL1	0.0105717177469733	0.00920799947102694	0	0.0227562863215867	0.0222641802278107	0.0312413981377794	0.0523099046834268	0	0	0
INTS11	0.18131506662313	0.203418459359646	0.151069498503816	0.287010224318092	0.221102682997785	0.227168699055207	0.255827691554062	0.285275329746663	0.246885403300196	0.42068888028606
CPTP	0.0440682828052949	0.025890902477062	0	0.0485595467442209	0.120162618026985	0.0972215357049082	0.0696999756459778	0	0.0151206461345665	0.00319726075516959
TAS1R3	0	0	0	0	0	0.00439854366257694	0	0	0.0153356540596816	0
DVL1	0.0833663549300379	0.0992726281358822	0.0882573678011731	0.117606660975046	0.192482778269175	0.186089943514156	0.197670728440713	0.141107432235807	0.185882045180191	0.132602745351399
MXRA8	0.00538587212301073	0.00471050180444036	0.0177656812992979	0.196015227836871	0.285125635493292	0.14213298082627	0.204428720238968	0.527520420789436	0.427269965328587	0.413715385464877
AURKAIP1	0.137041263499757	0.0804513992028711	0.108235634971618	0.276622086784693	0.387026555042029	0.342590488389534	0.208029821540378	0.12988780528547	0.1332079761903	0.0533214972589752
CCNL2	0.661961839168287	0.811690499287034	0.929131469145968	0.733423635866059	0.553259463954288	0.694065162042201	0.699661867382178	0.82940026381421	0.771102717974428	1.04824338774677
MRPL20	0.255753419898669	0.244813908643748	0.291127776697081	0.278003064868555	0.598880370769641	0.512265158496155	0.337632024246082	0.273147762913402	0.11717983588269	0.241657717400668
ANKRD65	0.0248777815315886	0.0266377317208554	0.0212673585064085	0.0424619718943464	0.0551231245542738	0.0263656029776829	0.0082030556710296	0.039032783883633	0.010298794626843	0.0102408497738676
TMEM88B	0	0	0	0	0	0	0	0.00802416677979572	0	0
VWA1	0.152440508147713	0.203117406974045	0.218349432397125	0.235699607830348	0.350858001617438	0.459796323717181	0.184782780896306	0.176443737380979	0.150850291272143	0.120040121319297
ATAD3C	0.00246741778283336	0.0657422582708652	0.158404648722436	0.0259692800593248	0.0135543003354792	0.0788637682330171	0.0276906349829136	0.327574775333493	0.0516367454965638	0.0264823596749948
ATAD3B	0.222303701124368	0.160004574731493	0.191324271736255	0.164928155434	0.111467723516066	0.145911285380209	0.157648951725023	0.353736115776324	0.199077557025924	0.365098173121389
ATAD3A	0.0961640463822299	0.0530557836753247	0.164506463378885	0.00251165728781293	0.0694958798420969	0.0718328485141063	0.0138013269709149	0.109675737628544	0.0165834767817511	0.0831963110009944
