"","external_gene_name","go_id","name_1006","namespace_1003","Index"
"1","AKT3","GO:0000002","mitochondrial genome maintenance","biological_process",228
"2","LONP1","GO:0000002","mitochondrial genome maintenance","biological_process",3809
"3","TYMP","GO:0000002","mitochondrial genome maintenance","biological_process",7397
"4","PIF1","GO:0000002","mitochondrial genome maintenance","biological_process",5097
"5","SLC25A36","GO:0000002","mitochondrial genome maintenance","biological_process",6281
"6","MEF2A","GO:0000002","mitochondrial genome maintenance","biological_process",4087
"7","ASTE1","GO:0000014","single-stranded DNA endodeoxyribonuclease activity","molecular_function",512
"8","ERCC4","GO:0000014","single-stranded DNA endodeoxyribonuclease activity","molecular_function",2118
"9","EXOG","GO:0000014","single-stranded DNA endodeoxyribonuclease activity","molecular_function",2161
"10","ENO2","GO:0000015","phosphopyruvate hydratase complex","cellular_component",2072
"11","ENO4","GO:0000015","phosphopyruvate hydratase complex","cellular_component",2074
"12","ENO3","GO:0000015","phosphopyruvate hydratase complex","cellular_component",2073
"13","ENO1","GO:0000015","phosphopyruvate hydratase complex","cellular_component",2071
"14","IL7R","GO:0000018","regulation of DNA recombination","biological_process",3171
"15","PRC1","GO:0000022","mitotic spindle elongation","biological_process",5358
"16","GANC","GO:0000023","maltose metabolic process","biological_process",2561
"17","NOP53","GO:0000027","ribosomal large subunit assembly","biological_process",4615
"18","RPL23A","GO:0000027","ribosomal large subunit assembly","biological_process",5875
"19","NLE1","GO:0000027","ribosomal large subunit assembly","biological_process",4590
"20","NOP2","GO:0000027","ribosomal large subunit assembly","biological_process",4614
"21","RRS1","GO:0000027","ribosomal large subunit assembly","biological_process",5935
"22","RRP7A","GO:0000028","ribosomal small subunit assembly","biological_process",5933
"23","RPS27","GO:0000028","ribosomal small subunit assembly","biological_process",5911
"24","RPS19","GO:0000028","ribosomal small subunit assembly","biological_process",5905
"25","ALG3","GO:0000030","mannosyltransferase activity","molecular_function",244
"26","DPY19L1","GO:0000030","mannosyltransferase activity","molecular_function",1865
"27","DPY19L2","GO:0000030","mannosyltransferase activity","molecular_function",1867
"28","DPY19L4","GO:0000030","mannosyltransferase activity","molecular_function",1872
"29","TMTC4","GO:0000030","mannosyltransferase activity","molecular_function",7146
